ID,predict_val
15497824#2853893,1
8224352#2521905,0
12557367#13642306,1
507631#2041040,0
10398480#5669626,0
2254890#3179132,1
1987551#16780333,1
13807908#8224352,0
6451824#16780333,1
16588086#8536484,1
14548027#3179132,1
9929825#16588086,0
11050100#4494709,0
4572220#4588439,0
1546497#2354921,0
7082651#2585910,0
8525932#13163362,1
14909133#240411,0
6751786#2096411,0
10060765#13256177,1
12557367#8777493,1
8525932#8584737,0
7169672#11435528,0
9421843#8965612,0
11092743#13225392,1
1836124#11286047,0
6191537#17107459,0
4892659#733100,0
240411#17107459,0
2354921#1824835,0
3554543#4681007,0
4872830#943605,1
1687045#11050100,1
293238#2585910,0
933670#13810100,0
15998728#14909133,0
4741176#11435528,0
12537154#943605,1
14710314#6206343,1
3369484#15611148,0
13810100#11459858,0
14693373#13225392,0
2354921#17000296,0
13810100#3863788,0
17107459#15998728,0
8256456#6081108,0
10775852#6066895,0
16544746#6114408,0
3881984#11377378,1
15994686#4243864,1
11139420#3635779,1
14945157#4924360,1
14175859#5251261,0
16966971#14757425,0
13284025#2910457,0
188269#10125788,0
12663058#14334319,0
7145147#8228373,1
13045861#13612980,0
3561653#10087948,0
9219474#6648881,1
5314204#11171017,0
11092963#16954685,1
7306044#9651904,0
17146489#42489,0
1686510#8042738,1
13257609#2688839,0
5626073#3679244,1
2223349#14657827,0
2253014#17048077,0
3093789#11360326,0
12085098#12139569,1
212081#16954685,1
7145147#1502490,1
8704591#16544746,1
10125788#13920914,1
1365164#15160618,1
5626073#10119942,1
3086783#3325990,1
5163431#12495223,1
17336909#11377378,0
11660368#3402417,1
14334319#1812858,0
17354277#5046280,0
15994686#13460463,1
1556052#12209088,1
7156348#11255531,1
13612980#10371010,1
12139569#3500996,1
8002616#5251261,0
5225967#3093789,1
16954685#8636232,1
553214#10638119,0
12159865#3637483,1
13543094#7156348,1
10077784#10125788,1
9219474#7034287,0
14393418#12585267,1
6527071#5251261,0
11995064#15594106,0
6411921#4243864,1
16180549#12085098,1
12874152#14848657,0
14757425#3386698,0
13656270#11171017,1
11303658#1801332,0
12366832#13639633,1
1556052#4029399,1
3500996#3788695,1
15160618#10559212,1
2910457#15426110,0
8042738#998553,0
5010873#11080275,0
5251322#16034014,1
9219474#3365497,0
553214#4924360,0
12872382#16053425,1
17146489#6256265,1
12634770#2223349,0
2688839#16618736,0
9924111#1686510,0
7886351#14757425,0
13257609#11080275,0
5163431#3505075,0
5865605#5251322,1
16860344#14334319,0
7893295#15994686,1
2028849#10290527,0
6314292#16954685,1
14655119#3325990,0
3325990#11604877,1
1556052#6715321,1
14334319#10076100,0
2223349#3574697,1
2223349#17231956,1
16544746#11554622,1
13657918#9219474,0
13171886#11995064,0
15408995#5010873,0
11171017#5058348,1
6324337#12872382,0
16496436#11377378,0
14453290#12085098,1
3238945#6114408,1
3093789#7457776,1
14757425#4879587,0
11035433#1686510,0
2392768#-8072494,0
1616098#-12538138,1
3954443#-6985296,0
5891821#-14263409,1
3954443#-12356286,0
15599530#-10541818,1
14051190#-16149193,0
6314215#-8921236,0
548194#-9220866,1
5888879#-112803,0
7060838#-15227191,1
7245151#-5090469,0
10446386#-17540927,0
11702817#-12159057,1
14438934#-9696221,0
11506013#-16289949,0
8253124#-7421086,1
14419422#-5834279,0
13988105#-2803663,0
5882470#-7683292,0
8935499#-14833053,0
4687231#-9418473,1
9996559#-17557383,0
1001836#-14619916,1
3698442#-15301739,0
5229814#-15275579,0
14702029#-5882470,0
10596400#-15781433,0
10741893#-11889939,0
124883#-10596400,0
16680735#-2271998,1
13944963#-9493725,0
5834279#-10186131,0
7523098#-2807522,1
2270518#-10120834,1
12289143#-3579292,0
6110041#-9648984,0
13790453#-12425074,0
6346941#-11774848,0
16583485#-2271998,1
3441247#-11185963,1
8138613#-9964771,0
1521396#-10035000,1
7548913#-17229493,1
2546032#-10588987,1
2205297#-10031415,0
17316881#-11999634,1
3876003#-7224369,1
17462083#-10998065,0
16836094#-3959870,1
12426599#-4196824,0
2361538#-16784156,0
9233221#-11292603,1
12492358#-5943987,0
5660137#-13698753,1
235116#-3495314,0
3006726#-14405981,1
9194152#-10120834,1
4629011#-7576687,1
6314215#-16517291,0
16488247#-1996151,0
4518196#-9437691,1
1711800#-5413672,1
4196824#-17557367,0
7268806#-14360913,0
2812#-16465159,0
146952#-13698753,1
175790#-9333597,0
14929829#-12889027,0
3594551#-7350589,0
16250123#-82228,1
5133719#-10099949,0
10236395#-10099949,0
14441485#-1394968,0
3012473#-8080417,1
1496284#-1656083,0
5442727#-7443618,1
8467611#-12159057,1
6217475#-7902082,0
12815900#-8676054,0
12450878#-14621071,0
737780#-17557494,0
1607097#-2339880,0
2357586#-10442864,0
3418034#-3334381,1
1882213#-16049825,1
1765003#-2697107,0
8187832#-12415697,0
6694743#-7355723,1
3622920#-17444128,0
6932209#-15951276,1
16886619#-7083342,1
8496380#-762808,0
5061040#-5345625,1
547064#-5345625,1
531543#-3438458,0
4761821#-9831969,1
3978648#-10998065,0
15197137#-13232805,0
2078059#-6961611,1
5925762#-26429050,0
15811361#-166669130,0
12810322#-166500660,1
7685605#-113184910,1
2900433#-124923580,0
2688314#-171579660,1
2365521#-68009980,1
6932209#-73520930,1
9694416#-118899390,1
5942105#-81100840,0
2108362#-81386130,1
5925762#-14861690,0
737780#-126375250,1
1749942#-88566620,1
1496912#-155215890,0
1696869#-20024570,1
3802327#-55141200,1
16488247#-129025760,1
14308676#-157952710,0
5286105#-77660040,0
2273550#-160580320,0
2546032#-91643890,1
10969978#-128473760,0
1491045#-31676510,0
15088537#-84963800,1
2034650#-79020820,0
3714897#-57059790,0
2617469#-162202360,1
10640586#-58328170,0
7083342#-46311430,1
8856662#-112259420,0
17273016#-50904690,1
14758032#-9353620,1
12795217#-150313980,1
7224369#-162668040,1
5986086#-122561220,1
2785122#-101214180,1
6059720#-169096840,1
5562149#-73891980,0
9437691#-169505850,0
673054#-73239530,0
7703549#-122454240,0
4388064#-102529010,1
6316030#-132328570,0
264005#-63160300,1
4687231#-95449880,0
7996069#-134780330,0
1491045#-146672430,0
12036904#-157864330,1
7389198#-129396360,1
7355723#-124586460,1
403680#-91536280,0
15781433#-1248830,0
973998#-16968690,0
7936182#-158569070,1
4842286#-95978750,1
3598602#-50162030,1
17557407#-93664550,0
1948618#-51868510,1
1560272#-142434450,1
6179192#-162050520,0
5562647#-62947840,1
624792#-41023680,1
11185963#-162760800,1
3204525#-153465840,1
2488332#-109222630,1
6059720#-142558960,1
4403588#-151880670,0
207666#-158081940,1
12268318#-31059890,0
161769#-160958270,1
7119283#-93664550,0
3896203#-162202360,1
7421086#-30660020,1
12870503#-52861050,1
11166810#-4613200,0
16916173#-175573630,0
11157807#-175573630,0
6444932#-119988650,0
14886118#-164733970,1
2803663#-159590110,1
8163032#-153017390,1
37600#-18822130,1
9823573#-116342020,1
5496548#-83183680,0
15210166#-166513770,1
5586611#-64449320,0
5899606#-93965680,1
6784173#-142634090,1
2020919#-144549620,1
3418034#-125654340,1
9010904#-136538860,1
10186131#-144194220,1
7083643#-87973490,0
7083643#-84533580,0
154542#-12205650,1
72675#-1397890,1
16169130#-167151210,1
4538217#-142434450,1
15587511#-169012220,1
17557460#17557308,1
2546032#9164389,1
3671629#4669638,1
14929829#9968388,1
12492358#5943987,1
2034650#7902082,1
14438934#9696221,1
1496912#15521589,1
5923646#16920267,1
548194#9220866,1
13871219#9696221,1
3006726#14405981,1
14308676#15795271,1
15704653#4230424,1
1678701#6179192,1
1521396#10035000,1
112803#13899697,1
3622920#17444128,1
5515787#6798830,1
547064#5345625,1
7224369#16266804,1
8676054#7806159,1
15088537#8496380,1
207666#15808194,1
11166810#461320,1
2365521#6800998,1
5660137#13698753,1
7703549#12245424,1
6932209#7352093,1
14405981#8814829,1
7060838#15227191,1
3978648#10998065,1
15227191#4205036,1
6346941#11774848,1
124883#10596400,1
2357586#10442864,1
11506013#16289949,1
17316881#11999634,1
16886619#7083342,1
15811361#16666913,1
9233221#11292603,1
11774848#9925570,1
12815900#8676054,1
2273550#16058032,1
10896316#7193170,1
15587511#16901222,1
10640586#5832817,1
10596400#15781433,1
12289143#4603997,1
7119283#9366455,0
208738#13506715,1
7193170#5240634,1
17462083#10998065,1
5986086#12256122,1
12036904#15786433,1
154542#1220565,1
13480335#7837738,1
17557407#9366455,0
4538217#14243445,1
2270518#10120834,1
7355723#12458646,1
235116#10202523,1
5306675#11644986,1
5016203#468856,1
3896203#16220236,1
4629011#14928829,1
4629011#7576687,1
11157807#17557363,1
9287702#11724746,1
4173190#5413672,1
2617469#16220236,1
1765003#2697107,1
146952#13698753,1
9823573#11634202,1
16583485#2271998,1
531543#3438458,1
7996069#13478033,0
16685669#9508208,1
12795217#15031398,1
4842286#9597875,1
5133719#10099949,1
1607097#2339880,1
13944963#9493725,1
5442727#7443618,1
5023160#5252743,1
11166810#10514390,1
16169130#16715121,1
3012473#8080417,1
2812#16465159,1
6606646#10969978,1
9493725#10190127,1
9597875#11661586,1
7548913#17229493,1
10741893#11889939,1
3768800#3959870,1
9395265#12340933,1
7685605#11318491,1
2803663#15959011,1
15599530#10541818,1
5562149#7389198,1
14929829#12889027,1
2020919#14454962,1
7083643#8453358,1
272473#5515787,1
2361538#15105615,1
1881932#5495617,1
3420132#16436411,1
2361538#16784156,0
7268806#14360913,1
6059720#14255896,1
3012473#16146090,1
6179192#16205052,1
1882213#16049825,1
5434493#11318491,1
714861#11600582,1
5899606#9396568,1
15210166#16651377,1
928926#8829520,1
7083643#8797349,1
11088687#12424943,1
7245151#5090469,1
10446386#17540927,0
6316030#13232857,1
6932209#15951276,1
403680#9153628,1
6694743#7355723,1
5013957#12425074,1
8856662#11225942,1
7268806#5896791,1
1616098#12538138,1
8138613#9964771,0
4388064#10252901,1
10969978#12847376,1
3954443#6985296,0
15197137#7518908,1
1001836#11900541,1
3594551#7350589,0
8935499#14833053,0
15704653#15101227,1
2546032#10588987,1
5942105#8110084,0
12268318#3105989,1
5832817#16931204,1
1749942#8856662,1
16250123#82228,1
12810322#16650066,1
5891821#14263409,1
2205297#10031415,1
235116#3495314,1
7389198#12939636,1
1771021#11884529,1
17273016#5090469,1
6059720#16909684,1
2392768#8072494,1
15197137#13232805,1
624792#3739065,1
11185963#16276080,1
16680735#2271998,1
8163032#15301739,1
8467611#12159057,1
1496284#1656083,1
8253124#7421086,1
973998#1696869,0
264005#6316030,1
3204525#15346584,1
5586611#6444932,0
277537#16149193,1
3714897#5705979,1
1491045#3167651,1
6110041#9648984,1
2785122#10121418,1
14171156#15786433,1
2812#3923027,1
6110041#14413927,1
9694416#11889939,1
8496380#762808,1
5882470#7683292,0
3441247#11185963,1
5724179#10291533,1
7421086#3066002,1
1560272#14243445,1
10030529#10248410,1
2108362#8138613,1
12450878#14621071,1
6023438#15856907,1
9437691#16950585,1
4687231#9544988,1
4420502#5942105,1
8419825#16997580,1
8318368#16057662,1
2447070#15808194,1
3571730#5023160,1
3876003#7224369,1
16836094#3959870,1
6314215#16517291,1
1948618#5186851,1
10035000#11941478,1
2078059#6961611,1
14419422#5834279,1
15811361#11928695,1
6784173#14263409,1
9010904#13653886,1
1711800#5413672,1
4669638#4997700,1
5925762#2642905,1
10121418#11717499,1
17472694#7837738,1
5562647#6294784,1
3698442#15301739,1
3772192#3846666,1
6314215#8921236,1
4761821#9831969,1
12426599#4196824,0
16916173#17557363,1
624792#4102368,1
2673261#8786270,1
3418034#3334381,1
13790453#12425074,1
5925762#1486169,1
16488247#12902576,1
13988105#2803663,0
4478479#2807522,1
5445961#17228636,1
10779975#1282014,1
2432233#16333523,1
3598602#5016203,1
2488332#10922263,1
2674141#2273550,1
17557460#17557395,1
737780#12637525,1
14702029#5882470,0
4518196#9437691,1
10186131#14419422,1
175790#9333597,1
673054#7323953,1
12268318#13916044,1
12289143#3579292,1
6444932#11998865,0
587184#15795271,1
72675#139789,1
14886118#16473397,1
1170147#9395265,1
5834279#10186131,1
11786783#1656083,0
37600#1882213,1
9194152#10120834,1
15781433#124883,1
786038#16675565,1
4687231#9418473,1
3418034#12565434,1
9696221#6101064,0
15811361#503400,0
4997700#1615109,0
2803663#15310096,0
5705979#17092200,0
11889939#11057856,0
2270518#15783746,0
1496912#813115,1
14405981#14381782,0
4997700#17433356,0
5318165#13111461,0
11889939#16279667,0
13558049#8868715,0
16268303#5514779,0
5229814#7316052,0
2273550#13196164,0
10121418#6028937,0
10998065#5825345,0
112803#2175129,0
7268806#3877543,0
1656083#6385242,0
1220565#704873,0
5061040#10969778,0
7685605#15129056,0
12565434#15139148,0
8856662#10273710,0
8856662#5483161,0
1001836#5490217,0
7548913#11056819,0
5882470#3838791,0
5061040#17478508,0
13506715#14092388,0
5882470#13108740,0
9418473#2018085,0
11292603#12687074,0
2355147#2096778,0
15786433#9334581,0
2803663#9622271,0
9648984#9871394,0
6314215#3919957,0
2812#14463282,0
7837738#15845710,0
2812#15034893,0
1220565#11104137,0
6059720#581109,0
1882213#16224795,0
16685669#11106329,0
8187832#10749397,0
10121418#15394461,0
10969978#8213426,0
2546032#16080005,0
6798830#5005634,0
1491045#17363143,0
15031398#14293700,0
5942105#9149499,0
2392768#16658054,1
13698753#6628308,0
15856907#5404947,0
1948618#6597944,0
17316881#5271147,0
5942105#14235088,1
1455319#4792621,0
7224369#16482720,0
3954443#1165506,0
9493725#8465363,0
5229814#5808846,0
7193170#6426322,0
7083342#1751103,0
112803#5533695,0
5899606#2695340,0
13506715#17232785,0
12289143#12435165,0
8496380#1101862,0
2617469#4275815,0
14929829#6273930,0
1491045#8981776,0
16149193#1706387,0
2546032#11777158,0
5832817#4995827,0
193507#11925216,0
2361538#14488736,0
5286105#3480000,0
3954443#4129739,0
4997700#17067318,0
5016203#14107275,0
5705979#6721454,0
6179192#11812315,1
16289949#4537309,0
8676054#13131624,0
10446386#3567348,0
15227191#3357721,1
1491045#11036002,0
12492358#8022797,0
5286105#807453,0
3438458#15432356,0
10442864#4849514,0
3954443#10233819,0
2807522#7264394,0
403680#8167053,0
2271998#11063152,0
15882782#235116,0
1394968#2442916,0
3012473#484111,0
235116#14648998,0
2205297#16209366,0
14167176#4572357,0
2595514#7119283,0
7421086#4371361,0
2488332#12794352,0
17316881#1555620,0
2807522#15298918,0
3622920#7279614,0
1001836#1633709,0
174471#6852547,0
12159057#12036904,0
7685605#8772376,0
5016203#6517573,0
9437691#14252293,0
4305787#2483017,0
15598391#15475591,0
5586611#17017987,0
10442864#12870131,0
4604173#6722869,0
673054#13718199,0
10998065#6804236,0
2803663#8195153,1
10013008#13329223,0
4205066#14438934,0
7083643#4848175,0
8935499#2686573,0
5496548#5694177,0
2361538#8492630,0
2361538#167281,0
14929829#1421484,0
10442864#13431439,0
17557479#17557339,0
11774848#7599201,0
403680#4445697,0
13506715#8380766,0
595985#9813986,0
15227191#3216785,0
3954443#8512655,0
5229814#17274188,0
3012473#14167176,0
737780#4195268,0
1948618#11005701,0
7685605#8216369,0
14929829#3594125,0
16488247#13886291,0
2617469#17203726,1
15856907#2003373,0
2205297#2280906,0
9366455#10523591,0
9395265#5617405,0
1282014#17557390,0
7685605#15964814,0
12492358#3998241,0
11185963#14492431,0
4629011#9468853,1
9696221#5422389,0
7083342#13342543,0
10541818#7338372,0
7685605#13408654,0
72675#4468055,0
15301739#14871156,0
17557460#12142091,0
2812#14068231,0
7224369#3315611,0
11185963#13336384,0
7996069#10085375,0
6059720#7862045,0
5716545#7303876,0
17125608#3600215,0
2546032#1305253,0
10035000#12558652,0
786038#17248120,0
928926#7273158,0
5586611#13505654,0
8676054#7329886,0
6314215#7648657,0
8187832#4961372,0
5882470#10594424,0
737780#12586647,0
10998065#13145435,0
5882470#6852547,1
7548913#17078061,0
9437691#1864428,0
15197137#1343336,0
2546032#5562647,0
17516702#8309583,0
11889939#10579271,0
12268318#6109033,0
9366455#13669935,0
7083342#12841638,0
8935499#17456623,0
7268806#12836584,0
5090469#3592918,0
12425074#11561597,0
10541818#396242,0
6694743#8547281,0
15704653#17415133,0
2807522#13345356,0
112803#4162469,0
1765003#7559986,0
17557460#12984506,0
6179192#9723221,0
9395265#1589692,0
16268303#9080350,0
1001836#7105635,0
10035000#16580775,0
14308676#494203,0
11292603#11823631,0
15892130#12183205,0
5562149#6721454,0
1220565#9688802,0
112803#12344797,0
14263409#9335797,0
5496548#452674,0
5286105#12646822,0
16289949#1876606,0
1882213#6551057,0
1220565#14693180,0
4629011#14584998,0
14405981#5677289,0
7224369#10499479,0
3012473#12791812,0
2075366#3675781,0
7523098#16275041,0
9395265#373152,0
13506715#15561198,0
2488332#16200490,0
193507#9913669,0
16836094#2653449,0
5016203#6780811,0
12159057#3178192,0
8935499#11342152,0
264005#1676950,0
9648984#1705747,0
1555620#11030065,0
10446386#17137077,0
9418473#13735139,0
17557383#4265077,0
7548913#456461,1
8187832#6798830,0
3846666#13396410,0
5496548#8151234,0
5413672#7813872,0
9395265#6122771,0
9964771#13977363,0
2273550#11273456,0
1191045#16995189,0
13698753#1282014,0
5061040#4614637,0
12159057#14201351,0
2339880#1491045,0
82228#10712252,0
548194#16330606,0
11292603#12758791,0
10121418#11101515,0
5739601#15805109,0
12159057#829408,0
16924375#11872592,0
2339880#10137997,0
175790#10027055,0
6114112#17557412,0
10121418#2165522,0
15781433#5290368,0
5061040#6767184,1
4196824#9979588,0
14263409#2099180,0
16289949#2593180,0
1696869#9847091,0
928926#14156718,0
6179192#3193261,0
624792#1919562,0
6694743#16414222,0
8856662#8088915,0
6314215#7629284,0
2407389#4426299,0
15811361#9031288,0
1948618#3847390,1
6694743#5489330,0
10446386#11396460,0
16479327#8438068,0
3846666#12821634,0
6932209#12757981,0
3438458#1361918,0
17557460#4786710,0
581109#16637861,0
10969978#3135229,1
7193170#16152587,0
5942105#15365593,0
7083342#4426299,0
10186131#2803663,0
1394968#14477558,0
16488247#7885167,0
9418473#8165179,0
673054#651828,0
6059720#16637861,0
14886118#8143839,0
5090469#878741,0
3846666#9031802,0
3959870#2653449,0
3438458#3407696,0
235116#1448856,1
7421086#4588331,0
15786433#8467611,0
3279655#8036014,0
1616098#90217,0
16149193#10908514,0
10998065#2546997,0
2488332#642942,0
5562149#1156257,0
6798830#11051657,0
3846666#9302088,0
72675#3662922,0
2205297#1263383,0
7421086#5388080,0
9696221#10127959,0
11766619#9545612,0
16685669#4656041,0
3377016#674740,0
8138613#10285500,0
1696869#3413230,0
14263409#15228888,0
11786783#12188374,0
935362#13236000,0
5496548#2244007,0
16488247#2296810,0
5090469#7303876,0
2812#3788402,0
16095827#12800675,1
2546032#1526453,0
2803663#1066527,0
8786270#1774929,0
82228#12235445,0
10640586#11996502,0
235116#15721353,0
2392768#4033379,0
7083643#12333653,0
11292603#8549265,0
1616098#8011806,0
14468738#12530612,0
7703549#6527280,0
2812#7224369,0
1455319#8027162,0
12268318#15676937,0
3418034#11688583,0
4997700#8100179,0
11185963#10631964,0
1394968#12596889,0
2273550#2649714,0
7969280#6000979,0
15301739#7188389,0
264005#7259626,0
11774848#713690,0
403680#14492431,0
8588586#16855273,0
15786433#11086374,0
14886118#16583485,0
6798830#500029,0
5925762#2483017,0
17557460#17387544,0
5832817#14325848,0
10157112#13277896,0
9597875#14296074,0
1656083#4082241,0
8496380#11113949,0
10121418#5909185,0
1656083#174471,0
8187832#11051657,0
7902082#14749331,0
17557334#14690823,0
6932209#4093412,0
8537797#4226524,0
10035000#9398990,0
548194#2812,0
7268806#2671377,0
5705979#14553491,0
5834279#8505119,1
72675#14412683,0
9418473#523642,0
5495617#2261579,0
11185963#13331027,0
11166810#14878021,0
8496380#12183205,0
548194#11120436,1
1455319#10214831,0
7837738#2617514,1
2807522#9034446,0
15031398#9402326,0
7837738#14927729,0
7685605#11185690,0
8496380#2417595,0
9648984#7759463,0
2617469#4395129,0
7703549#5864552,0
6314215#5716545,0
16685669#8864865,0
5023160#16183386,0
17557363#3602727,0
12268318#9608887,0
1001836#631121,0
14243445#14841709,0
403680#8026114,0
5090469#14118476,0
5586611#14306445,0
7996069#8667170,0
9395265#491882,0
175790#3524189,0
2339880#3820100,0
15959011#14325848,0
2365521#469457,0
5899606#5947576,0
235116#8822055,0
10655356#16995189,0
5229814#8217314,0
16095827#2201385,0
4502869#503400,0
174471#8438827,0
14308676#17341652,0
15781433#2619686,0
7996069#17537891,0
5705979#6800998,0
11889939#7507022,0
1001836#8017021,0
12159057#8082526,0
8138613#17557294,0
5413672#14852533,0
17557363#17030095,0
935362#14517853,0
7893526#15805109,0
2339880#10221368,0
10099949#13937212,0
13698753#5871655,0
1616098#8374218,0
548194#7672899,0
16637861#1221565,1
2627107#7399384,0
928926#7619818,0
5496548#8017695,0
9597875#4844266,0
16488247#2899103,0
1455319#17478586,1
928926#13932870,0
7224369#8973528,0
6700842#5878293,0
15808194#4562170,0
16289949#13600428,0
17557383#11560509,0
2365521#6519162,0
11292603#8369146,0
5942105#770253,1
5023160#4592756,0
7837738#193167,0
786038#11706004,0
10099949#10099837,0
1948618#3200840,0
1491045#8394787,0
8786270#10786460,0
14929829#698821,0
2271998#13025456,0
8676054#9615641,0
175790#10001134,0
6694743#17346336,0
3418034#12117201,0
10186131#15143948,0
15031398#16852097,0
16149193#13537792,0
5584388#13919232,0
16479327#268014,0
15856907#10640586,0
5562149#14548909,0
10442864#8987176,0
7548913#6298869,1
15301739#120573,0
13698753#14639756,0
3998241#5126220,0
264005#10832191,0
2271998#6700842,0
2812#39127,0
6694743#15578227,0
15704653#3114605,0
1656083#16541559,0
2271998#12644786,0
6694743#17049576,0
6059720#10545150,0
15301739#3743230,0
15301739#16340292,0
5413672#6148801,0
8403741#5878293,1
3438458#4923343,0
2365521#13732130,0
1882213#2359048,0
2056751#4305787,0
2205297#12976120,0
11141845#9545612,0
403680#6492788,0
1001836#1456332,0
624792#1696869,0
2392768#16107201,0
928926#7845320,0
1948618#6076158,0
15808194#4305787,0
12425074#6575098,0
5925762#16799017,0
2488332#10505527,0
14308676#11955217,1
3622920#10273666,0
11185963#10539137,1
3959870#5820797,0
8138613#3279655,0
16685669#3247628,0
7193170#7557696,0
7604106#17470199,0
175790#17140727,0
15031398#10720730,0
5942105#11267606,0
1616098#15957918,0
8187832#11344789,0
193507#13042368,0
15781433#13987008,0
624792#5642076,0
5691503#6337444,0
2488332#2776891,0
624792#11296223,0
16268303#8748420,0
5029139#1996151,0
9789113#12893189,0
9418473#1212706,0
15781433#16638436,0
8786270#3865385,0
15143948#565933,0
8856662#5486002,0
786038#8987527,0
6179192#1546919,0
14263409#10299274,0
2339880#14669613,0
1282014#11927765,0
11786783#7126961,0
11166810#8970553,0
4196824#4686619,0
72675#4439192,0
9597875#2744906,0
2365521#16049825,0
1496912#12582997,1
2617469#8675875,0
5413672#4588573,0
1220565#8415690,0
4629011#16336641,0
9493725#3206398,0
7083643#1508551,0
5832817#11996502,0
13506715#12857251,0
15808194#6280235,0
7996069#4260803,0
3959870#754970,0
14405981#17063490,0
7548913#4504436,1
11908659#116616,0
15811361#9822286,0
1882213#12939636,0
8438068#16268303,0
17557363#1082963,0
9366455#10843329,0
6280235#16909684,1
5562149#12888973,0
1696869#13919143,0
8676054#5788182,0
4629011#314685,0
5586611#7738412,0
5586611#6819647,0
11889939#15405890,0
1656083#15807338,0
5286105#1621436,0
7193170#15184,0
7996069#10179903,0
4814928#7003280,0
3418034#11591025,0
9597875#4327380,0
15475591#5476658,0
8856662#16732972,0
7902082#742440,0
3776757#17497317,0
6932209#4604173,0
1282014#2726456,0
15227191#17435343,0
14243445#9060487,0
10121418#3018328,0
2250737#565933,0
1455319#13359785,0
2617469#5992727,0
10099949#714011,0
12289143#6224175,0
673054#617061,0
5413672#6050412,0
1496912#10487488,0
673054#14344634,0
9437691#8782130,0
5753834#13919232,0
72675#7123865,0
1882213#12533777,0
14263409#10970047,0
548194#16416419,0
2361538#15709248,0
1455319#5992727,0
11774848#5269197,0
82228#4827819,0
3769087#14387994,0
15811361#1864428,0
14308676#15221135,1
17557383#2997039,0
16517291#7648657,0
1696869#1615109,0
7083643#565141,0
10969978#9499409,0
1394968#13329223,0
7548913#16119677,0
1220565#4215042,0
6932209#1485808,0
10186131#11766619,1
15704653#6725060,0
15031398#1808381,0
2270518#7611137,0
5586611#6065995,0
1496912#15356070,1
6798830#4961372,0
15197137#9873026,0
8138613#120710,0
6798830#3567348,0
16900900#13479382,1
15227191#4186904,0
17316881#13277896,0
3622920#6504377,0
1765003#9258602,0
10969978#7556738,0
12870503#2096778,0
9648984#7472847,0
3438458#2698820,0
16289949#16057662,0
1616098#5353087,0
7703549#1457786,0
403680#4723089,0
6156617#9687337,0
16931204#5709653,0
6314215#2245871,0
673054#4164118,0
7902082#2192623,0
